date,predicted_volatility,realized_volatility
2025-11-01,1.5415985641728682,0.0
2025-11-02,1.505457227903518,0.0
2025-11-03,1.4713913414033462,0.2770089589796132
2025-11-04,1.4416408734785076,0.6958923031859352
2025-11-05,1.425917806067679,1.4379772049788677
2025-11-06,1.45801646856308,0.22064530301529472
2025-11-07,1.4282275614376316,0.39367029157128797
2025-11-08,1.4004416439460314,0.0
2025-11-09,1.372581399386516,0.0
2025-11-10,1.3464163608412976,0.6735032038720661
2025-11-11,1.3273211818625839,1.7025733865876154
2025-11-12,1.3392616787631382,3.8324929980098372
2025-11-13,1.723537698385866,0.47725073603161305
2025-11-14,1.6794793573925466,2.166491475524948
2025-11-15,1.6812724311727927,0.0
2025-11-16,1.6373532543378841,0.0
2025-11-17,1.5958413707741328,0.29551689103654666
2025-11-18,1.5590845948972245,1.0690356066389406
2025-11-19,1.5339412937347185,2.1496171840638194
2025-11-20,1.6235719652622855,0.2048976271162809
2025-11-21,1.5839986581118095,1.3022252926696143
2025-11-22,1.5913833446269519,0.0
2025-11-23,1.552427726158471,0.0
2025-11-24,1.5156699535963796,1.2864428291568273
2025-11-25,1.4988547864744999,1.4144048275339165
2025-11-26,1.5220271273091868,1.0349611093964037
2025-11-27,1.4985070931125306,0.0
2025-11-28,1.4648436377490477,0.11082039258071702
2025-11-29,1.4332698947149345,0.0
2025-11-30,1.4034397308126019,0.0
2025-12-01,1.3753983688720954,0.04748373001733858
2025-12-02,1.349147469989893,1.1463227136073773
2025-12-03,1.3659659632502654,0.35165862307886425
2025-12-04,1.3416538032671648,0.9370356325492937
2025-12-05,1.3280249727450242,0.771599269386263
2025-12-06,1.3118863315699965,0.0
2025-12-07,1.2894953565512903,0.0
2025-12-08,1.2685269911705812,1.996261323777931
2025-12-09,1.3774374562027836,0.8840418427011147
2025-12-10,1.3754229599320515,0.43495914364600297
2025-12-11,1.3512963803669946,1.5062238297959611
2025-12-12,1.3971273417983914,0.2614378129688044
2025-12-13,1.371655897674334,0.0
2025-12-14,1.345547557504229,0.0
2025-12-15,1.32104926081259,0.9204495576828517
2025-12-16,1.3256079952615683,2.745407128826342
2025-12-17,1.5276268171028287,1.281640049157498
2025-12-18,1.5098596448323574,0.2343087091193699
2025-12-19,1.4761134638400095,1.0807346371808368
2025-12-20,1.4566687503447318,0.0
2025-12-21,1.425451694462068,0.0
2025-12-22,1.3960880660755621,2.611538103687975
2025-12-23,1.446652931925044,0.4981952793454131
2025-12-24,1.4188018033254925,0.22468214645863815
2025-12-25,1.3914395949400837,0.0
2025-12-26,1.3641246787869965,2.6043175568838115
2025-12-27,1.5379613100426712,0.0
2025-12-28,1.5020275709472979,0.0
2025-12-29,1.4681601336668968,2.121142110479338
2025-12-30,1.4858935797898902,0.03229526635705223
